,Movie,Worldwide Lifetime Gross / US$,% Gross in US
0,Avatar,2923818852,26.9
1,Avengers: Endgame,2797501328,30.7
2,Titanic,2201647264,30.0
3,Star Wars: Episode VII - The Force Awakens,2069521700,45.3
4,Avengers: Infinity War,2048359754,33.1
5,Spider-Man: No Way Home,1920618834,42.4
6,Jurassic World,1671537444,39.1
7,The Lion King,1663250487,32.7
8,The Avengers,1518815515,41.0
9,Furious 7,1515341399,23.3
10,Top Gun: Maverick,1484590000,48.2
11,Frozen II,1450026933,32.9
12,Avengers: Age of Ultron,1402809540,32.7
13,Black Panther,1347597973,52.0
14,Harry Potter and the Deathly Hallows: Part 2,1342359942,28.4
15,Star Wars: Episode VIII - The Last Jedi,1332698830,46.5
16,Jurassic World: Fallen Kingdom,1310466296,31.9
17,Frozen,1304550716,30.7
18,Beauty and the Beast,1273576220,39.6
19,Incredibles 2,1243089244,49.0
20,The Fate of the Furious,1236005118,18.3
21,Iron Man 3,1214811252,33.7
22,Minions,1159444662,29.0
23,Captain America: Civil War,1153337496,35.4
24,Aquaman,1148528393,29.2
25,The Lord of the Rings: The Return of the King,1146436214,33.0
26,Spider-Man: Far from Home,1131927996,34.5
27,Captain Marvel,1128462972,37.8
28,Transformers: Dark of the Moon,1123794079,31.4
29,Jurassic Park,1109802321,36.4
30,Skyfall,1108569499,27.5
31,Transformers: Age of Extinction,1104054072,22.2
32,The Dark Knight Rises,1081169825,41.4
33,Joker,1074445730,31.2
34,Star Wars: Episode IX - The Rise of Skywalker,1074149279,48.0
35,Toy Story 4,1073394593,40.4
36,Toy Story 3,1066970811,38.9
37,Pirates of the Caribbean: Dead Man's Chest,1066179747,39.7
38,The Lion King,1063611805,39.8
39,Rogue One: A Star Wars Story,1058682142,50.4
40,Aladdin,1050693953,33.8
41,Pirates of the Caribbean: On Stranger Tides,1045713802,23.0
42,Despicable Me 3,1034800131,25.6
43,Finding Dory,1028570942,47.3
44,Star Wars: Episode I - The Phantom Menace,1027082707,46.2
45,Alice in Wonderland,1025468216,32.6
46,Zootopia,1024121104,33.3
47,Harry Potter and the Sorcerer's Stone,1022290019,31.2
48,The Hobbit: An Unexpected Journey,1017030651,29.8
49,The Dark Knight,1006234167,53.2
50,Jurassic World Dominion,1001136080,37.6
51,Harry Potter and the Deathly Hallows: Part 1,977070383,30.3
52,Despicable Me 2,970766005,37.9
53,The Jungle Book,966554929,37.7
54,Jumanji: Welcome to the Jungle,962542945,42.0
55,The Hobbit: The Battle of the Five Armies,962201338,26.5
56,Pirates of the Caribbean: At World's End,960996492,32.2
57,The Hobbit: The Desolation of Smaug,959027992,26.9
58,Doctor Strange in the Multiverse of Madness,955775804,43.0
59,The Lord of the Rings: The Two Towers,947926792,36.2
60,Harry Potter and the Order of the Phoenix,942201710,31.0
61,Finding Nemo,940352645,40.5
62,Harry Potter and the Half-Blood Prince,934483039,32.4
63,Minions: The Rise of Gru,932693620,39.5
64,Shrek 2,928760770,47.5
65,Bohemian Rhapsody,910809311,23.8
66,The Battle at Lake Changjin,902548476,0.1
67,The Lord of the Rings: The Fellowship of the Ring,898182036,35.2
68,Harry Potter and the Goblet of Fire,896730264,32.4
69,Spider-Man 3,894983373,37.6
70,Ice Age: Dawn of the Dinosaurs,886686817,22.2
71,No Time to Die,883639673,18.2
72,Spectre,880705312,22.7
73,Spider-Man: Homecoming,880166924,38.0
74,Harry Potter and the Chamber of Secrets,879928511,29.8
75,Ice Age: Continental Drift,877244782,18.4
76,The Secret Life of Pets,875458631,42.1
77,Batman v Superman: Dawn of Justice,873637528,37.8
78,Wolf Warrior 2,870325439,0.3
79,Star Wars: Episode III - Revenge of the Sith,868390560,43.8
80,The Hunger Games: Catching Fire,865011746,49.1
81,Guardians of the Galaxy Vol. 2,863756051,45.1
82,Inside Out,858848019,41.6
83,Venom,856085151,24.9
84,Thor: Ragnarok,853983879,36.9
85,Inception,836848102,35.0
86,Transformers: Revenge of the Fallen,836303693,48.1
87,The Twilight Saga: Breaking Dawn - Part 2,829747654,35.2
88,Spider-Man,825025036,49.3
89,Wonder Woman,822854286,50.2
90,"Hi, Mom",822009764,0.0
91,Independence Day,817400891,37.5
92,Fantastic Beasts and Where to Find Them,814044001,28.8
93,Shrek the Third,813367380,39.7
94,Coco,807817888,26.0
95,Jumanji: The Next Level,800059707,40.0
96,Harry Potter and the Prisoner of Azkaban,797660766,31.4
97,Pirates of the Caribbean: Dead Men Tell No Tales,794881442,21.7
98,E.T. the Extra-Terrestrial,792910554,55.1
99,Mission: Impossible - Fallout,791657398,27.8
100,2012,791217826,21.0
101,Indiana Jones and the Kingdom of the Crystal Skull,790653942,40.1
102,Spider-Man 2,788976453,47.4
103,Fast & Furious 6,788680968,30.3
104,Deadpool 2,785896609,41.3
105,Deadpool,782836791,46.4
106,Star Wars: Episode IV - A New Hope,775398007,59.4
107,Interstellar,773897851,24.3
108,Guardians of the Galaxy,773350147,43.2
109,The Batman,770836163,47.9
110,Thor: Love and Thunder,760740359,45.1
111,The Da Vinci Code,760006945,28.6
112,Fast & Furious Presents: Hobbs & Shaw,759056935,22.9
113,Maleficent,758411779,31.8
114,The Amazing Spider-Man,757930663,34.6
115,The Hunger Games: Mockingjay - Part 1,755356711,44.6
116,Shrek Forever After,752600867,31.7
117,Madagascar 3: Europe's Most Wanted,746921274,29.0
118,Suicide Squad,746846894,43.5
119,X-Men: Days of Future Past,746045700,31.4
120,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,39.2
121,Monsters University,743559645,36.1
122,The Matrix Reloaded,741847937,38.0
123,Up,735099102,39.9
124,Ne Zha,726264074,0.5
125,F9: The Fast Saga,726229501,23.8
126,Gravity,723192705,37.9
127,Captain America: The Winter Soldier,714421503,36.4
128,The Twilight Saga: Breaking Dawn - Part 1,712205856,39.5
129,The Twilight Saga: New Moon,711025481,41.9
130,Dawn of the Planet of the Apes,710644566,29.4
131,Transformers,709709780,45.0
132,The Amazing Spider-Man 2,708982323,28.6
133,It,701842551,46.9
134,The Wandering Earth,699992512,0.8
135,The Twilight Saga: Eclipse,698491347,43.0
136,Mission: Impossible - Ghost Protocol,694713380,30.1
137,The Hunger Games,694394724,58.8
138,Detective Chinatown 3,686257563,0.0
139,Mission: Impossible - Rogue Nation,682716636,28.6
140,Forrest Gump,678226465,48.7
141,Doctor Strange,677796076,34.3
142,The Sixth Sense,672806432,43.6
143,Man of Steel,668045518,43.6
144,Ice Age: The Meltdown,667094506,29.3
145,Kung Fu Panda 2,665692281,24.8
146,Moana,660349731,37.7
147,Justice League,657926987,34.8
148,Big Hero 6,657869686,33.8
149,Fantastic Beasts: The Crimes of Grindelwald,654855901,24.4
150,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,46.7
151,Star Wars: Episode II - Attack of the Clones,653779970,47.5
152,The Hunger Games: Mockingjay - Part 2,653428261,43.1
153,Thor: The Dark World,644783140,32.0
154,Sing,634338384,42.7
155,Kung Fu Panda,632083197,34.1
156,The Incredibles,631607053,41.4
157,The Martian,630620818,36.2
158,Hancock,629443428,36.2
159,Water Gate Bridge,626571561,0.1
160,Fast Five,626137675,33.5
