Movie,Released_Year,Genre,Director,IMDB_Rating
The Shawshank Redemption,1994,Drama,Frank Darabont,9.3
The Godfather,1972,Crime,Francis Ford Coppola,9.2
The Dark Knight,2008,Action,Christopher Nolan,9.0
The Godfather: Part Ii,1974,Crime,Francis Ford Coppola,9.0
12 Angry Men,1957,Crime,Sidney Lumet,9.0
The Lord Of The Rings: The Return Of The King,2003,Action,Peter Jackson,8.9
Pulp Fiction,1994,Crime,Quentin Tarantino,8.9
Schindler'S List,1993,Biography,Steven Spielberg,8.9
Inception,2010,Action,Christopher Nolan,8.8
Fight Club,1999,Drama,David Fincher,8.8
The Lord Of The Rings: The Fellowship Of The Ring,2001,Action,Peter Jackson,8.8
Forrest Gump,1994,Drama,Robert Zemeckis,8.8
"Il Buono, Il Brutto, Il Cattivo",1966,Western,Sergio Leone,8.8
The Lord Of The Rings: The Two Towers,2002,Action,Peter Jackson,8.7
The Matrix,1999,Action,Lana Wachowski,8.7
Goodfellas,1990,Biography,Martin Scorsese,8.7
Star Wars: Episode V - The Empire Strikes Back,1980,Action,Irvin Kershner,8.7
One Flew Over The Cuckoo'S Nest,1975,Drama,Milos Forman,8.7
Hamilton,2020,Biography,Thomas Kail,8.6
Gisaengchung,2019,Comedy,Bong Joon Ho,8.6
Soorarai Pottru,2020,Drama,Sudha Kongara,8.6
Interstellar,2014,Adventure,Christopher Nolan,8.6
Cidade De Deus,2002,Crime,Fernando Meirelles,8.6
Sen To Chihiro No Kamikakushi,2001,Animation,Hayao Miyazaki,8.6
Saving Private Ryan,1998,Drama,Steven Spielberg,8.6
The Green Mile,1999,Crime,Frank Darabont,8.6
La Vita Ã¨ Bella,1997,Comedy,Roberto Benigni,8.6
Se7En,1995,Crime,David Fincher,8.6
The Silence Of The Lambs,1991,Crime,Jonathan Demme,8.6
Star Wars,1977,Action,George Lucas,8.6
Seppuku,1962,Action,Masaki Kobayashi,8.6
Shichinin No Samurai,1954,Action,Akira Kurosawa,8.6
It'S A Wonderful Life,1946,Drama,Frank Capra,8.6
Joker,2019,Crime,Todd Phillips,8.5
Whiplash,2014,Drama,Damien Chazelle,8.5
The Intouchables,2011,Biography,Olivier Nakache,8.5
The Prestige,2006,Drama,Christopher Nolan,8.5
The Departed,2006,Crime,Martin Scorsese,8.5
The Pianist,2002,Biography,Roman Polanski,8.5
Gladiator,2000,Action,Ridley Scott,8.5
American History X,1998,Drama,Tony Kaye,8.5
The Usual Suspects,1995,Crime,Bryan Singer,8.5
Lã©On,1994,Action,Luc Besson,8.5
The Lion King,1994,Animation,Roger Allers,8.5
Terminator 2: Judgment Day,1991,Action,James Cameron,8.5
Nuovo Cinema Paradiso,1988,Drama,Giuseppe Tornatore,8.5
Hotaru No Haka,1988,Animation,Isao Takahata,8.5
Back To The Future,1985,Adventure,Robert Zemeckis,8.5
Once Upon A Time In The West,1968,Western,Sergio Leone,8.5
Psycho,1960,Horror,Alfred Hitchcock,8.5
Casablanca,1942,Drama,Michael Curtiz,8.5
Modern Times,1936,Comedy,Charles Chaplin,8.5
City Lights,1931,Comedy,Charles Chaplin,8.5
Capharnaã¼M,2018,Drama,Nadine Labaki,8.4
Ayla: The Daughter Of War,2017,Biography,Can Ulkay,8.4
Vikram Vedha,2017,Action,Gayatri,8.4
Kimi No Na Wa.,2016,Animation,Makoto Shinkai,8.4
Dangal,2016,Action,Nitesh Tiwari,8.4
Spider-Man: Into The Spider-Verse,2018,Animation,Bob Persichetti,8.4
Avengers: Endgame,2019,Action,Anthony Russo,8.4
Avengers: Infinity War,2018,Action,Anthony Russo,8.4
Coco,2017,Animation,Lee Unkrich,8.4
Django Unchained,2012,Drama,Quentin Tarantino,8.4
The Dark Knight Rises,2012,Action,Christopher Nolan,8.4
3 Idiots,2009,Comedy,Rajkumar Hirani,8.4
Taare Zameen Par,2007,Drama,Aamir Khan,8.4
Wallâ·E,2008,Animation,Andrew Stanton,8.4
The Lives Of Others,2006,Drama,Florian Henckel von Donnersmarck,8.4
Oldeuboi,2003,Action,Chan-wook Park,8.4
Memento,2000,Mystery,Christopher Nolan,8.4
Mononoke-Hime,1997,Animation,Hayao Miyazaki,8.4
Once Upon A Time In America,1984,Crime,Sergio Leone,8.4
Raiders Of The Lost Ark,1981,Action,Steven Spielberg,8.4
The Shining,1980,Drama,Stanley Kubrick,8.4
Apocalypse Now,1979,Drama,Francis Ford Coppola,8.4
Alien,1979,Horror,Ridley Scott,8.4
Anand,1971,Drama,Hrishikesh Mukherjee,8.4
Tengoku To Jigoku,1963,Crime,Akira Kurosawa,8.4
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,1964,Comedy,Stanley Kubrick,8.4
Witness For The Prosecution,1957,Crime,Billy Wilder,8.4
Paths Of Glory,1957,Drama,Stanley Kubrick,8.4
Rear Window,1954,Mystery,Alfred Hitchcock,8.4
Sunset Blvd.,1950,Drama,Billy Wilder,8.4
The Great Dictator,1940,Comedy,Charles Chaplin,8.4
1917,2019,Drama,Sam Mendes,8.3
Tumbbad,2018,Drama,Rahi Anil Barve,8.3
Andhadhun,2018,Crime,Sriram Raghavan,8.3
Drishyam,2013,Crime,Jeethu Joseph,8.3
Jagten,2012,Drama,Thomas Vinterberg,8.3
Jodaeiye Nader Az Simin,2011,Drama,Asghar Farhadi,8.3
Incendies,2010,Drama,Denis Villeneuve,8.3
Miracle In Cell No.7,2019,Drama,Mehmet Ada Ãztekin,8.3
Babam Ve Oglum,2005,Drama,Ãagan Irmak,8.3
Inglourious Basterds,2009,Adventure,Quentin Tarantino,8.3
Eternal Sunshine Of The Spotless Mind,2004,Drama,Michel Gondry,8.3
Amã©Lie,2001,Comedy,Jean-Pierre Jeunet,8.3
Snatch,2000,Comedy,Guy Ritchie,8.3
Requiem For A Dream,2000,Drama,Darren Aronofsky,8.3
American Beauty,1999,Drama,Sam Mendes,8.3
Good Will Hunting,1997,Drama,Gus Van Sant,8.3
Bacheha-Ye Aseman,1997,Drama,Majid Majidi,8.3
Toy Story,1995,Animation,John Lasseter,8.3
Braveheart,1995,Biography,Mel Gibson,8.3
Reservoir Dogs,1992,Crime,Quentin Tarantino,8.3
Full Metal Jacket,1987,Drama,Stanley Kubrick,8.3
Idi I Smotri,1985,Drama,Elem Klimov,8.3
Aliens,1986,Action,James Cameron,8.3
Amadeus,1984,Biography,Milos Forman,8.3
Scarface,1983,Crime,Brian De Palma,8.3
Star Wars: Episode Vi - Return Of The Jedi,1983,Action,Richard Marquand,8.3
Das Boot,1981,Adventure,Wolfgang Petersen,8.3
Taxi Driver,1976,Crime,Martin Scorsese,8.3
The Sting,1973,Comedy,George Roy Hill,8.3
A Clockwork Orange,1971,Crime,Stanley Kubrick,8.3
2001: A Space Odyssey,1968,Adventure,Stanley Kubrick,8.3
Per Qualche Dollaro In Piã¹,1965,Western,Sergio Leone,8.3
Lawrence Of Arabia,1962,Adventure,David Lean,8.3
The Apartment,1960,Comedy,Billy Wilder,8.3
North By Northwest,1959,Adventure,Alfred Hitchcock,8.3
Vertigo,1958,Mystery,Alfred Hitchcock,8.3
Singin' In The Rain,1952,Comedy,Stanley Donen,8.3
Ikiru,1952,Drama,Akira Kurosawa,8.3
Ladri Di Biciclette,1948,Drama,Vittorio De Sica,8.3
Double Indemnity,1944,Crime,Billy Wilder,8.3
Citizen Kane,1941,Drama,Orson Welles,8.3
M - Eine Stadt Sucht Einen Mã¶Rder,1931,Crime,Fritz Lang,8.3
Metropolis,1927,Drama,Fritz Lang,8.3
The Kid,1921,Comedy,Charles Chaplin,8.3
Chhichhore,2019,Comedy,Nitesh Tiwari,8.2
Uri: The Surgical Strike,2018,Action,Aditya Dhar,8.2
K.G.F: Chapter 1,2018,Action,Prashanth Neel,8.2
Green Book,2018,Biography,Peter Farrelly,8.2
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,Martin McDonagh,8.2
Talvar,2015,Crime,Meghna Gulzar,8.2
Baahubali 2: The Conclusion,2017,Action,S.S. Rajamouli,8.2
Klaus,2019,Animation,Sergio Pablos,8.2
