,Movie,RottenT_Rating
0,Hotel Transylvania: Transformania,5.5
1,Sensation,4.3
2,A Cops And Robbers Story,7.7
3,Try Harder!,7.7
4,President,7.8
5,The Scary Of Sixty-First,5.9
6,Apex,2.6
7,Clerk,7.6
8,The Feast,7.1
9,Wheel Of Fortune And Fantasy,8.4
10,David Byrne'S American Utopia,8.6
11,Red Snow,6.0
12,June Again,7.2
13,See For Me,6.8
14,A Hero,8.3
15,Together,7.4
16,The Tragedy Of Macbeth,8.2
17,King Car,6.5
18,The Lost Daughter,7.9
19,The Tender Bar,6.0
20,Nomadland,8.8
21,Lotawana,7.3
22,A Rainy Day In New York,5.7
23,Redeeming Love,4.3
24,Salt In My Soul,8.2
25,The Ice Age Adventures Of Buck Wild,4.5
26,Shattered,4.6
27,The Free Fall,6.0
28,Mosley,5.8
29,The Legend Of La Llorona,3.7
30,Minnal Murali,6.7
31,Harry Potter 20Th Anniversary: Return To Hogwarts,7.7
32,A Shot Through The Wall,6.0
33,Home Team,4.7
34,Alpha Rift,6.1
35,The Laureate,5.9
36,Sex Appeal,6.0
37,The Wasteland,5.8
38,Downfall: The Case Against Boeing,7.6
39,The Nowhere Inn,6.4
40,The Second,5.0
41,Hurt,6.2
42,Climate Of The Hunter,7.0
43,One In A Thousand,6.9
44,Death Of A Telemarketer,5.2
45,Love It Was Not,9.1
46,Cusp,7.3
47,"Ma Belle, My Beauty",6.8
48,The Killing Of Kenneth Chamberlain,8.0
49,The Witches Of The Orient,7.1
50,Azor,8.2
51,Cinderella,5.3
52,The End Of Us,6.8
53,Betrayed,7.1
54,Brian Wilson: Long Promised Road,6.8
55,Greed,5.9
56,13 Minutes,4.8
57,Kurt Vonnegut: Unstuck In Time,8.1
58,Silent Night,6.6
59,School Life,6.3
60,Zeros And Ones,5.2
61,Boiling Point,8.0
62,The Mustangs: America'S Wild Horses,7.5
63,The Last Rite,6.5
64,Black Friday,5.6
65,Last Shoot Out,4.9
66,Castle Falls,6.4
67,Repeat,7.6
68,The Scrapper,6.3
69,The Last Son,5.2
70,Twas The Night,2.6
71,Worth,7.3
72,The Auschwitz Report,7.4
73,See You Next Christmas,7.0
74,The Deep House,6.4
75,Two Yellow Lines,7.5
76,Alice Is Still Dead,7.7
77,That Cold Dead Look In Your Eyes,7.0
78,Lair,5.7
79,Needle In A Timestack,5.2
80,This Is The Year,6.2
81,Through The Glass Darkly,6.3
82,The Wonderful: Stories From The Space Station,6.6
83,"The Big Scary ""S"" Word",7.0
84,Prisoners Of The Ghostland,6.0
85,Wild Indian,7.3
86,Best Sellers,5.6
87,On These Grounds,7.8
88,East Of The Mountains,7.5
89,Last Night In Rozzie,6.6
90,All The Streets Are Silent: The Convergence Of Hip Hop And Skateboarding (1987-1997),7.7
91,Bad Candy,4.9
92,Bitchin': The Sound And Fury Of Rick James,8.0
93,We Need To Do Something,6.0
94,Lady Of The Manor,3.9
95,Dating & New York,5.7
96,Zone 414 - City Of Robots,4.7
97,The Gateway,6.0
98,Yakuza Princess,5.2
99,Violet,7.2
100,Collection,5.4
101,Ted Bundy: American Boogeyman,3.2
102,The Influencer,6.4
103,Superhost,6.5
104,Karen,2.6
105,Death Drop Gorgeous,5.9
106,Another Girl,7.1
107,This Is The Night,4.0
108,Clifford The Big Red Dog,5.7
109,Bugs,7.1
110,They Say Nothing Stays The Same,7.8
111,Broken Law,6.7
112,Freeland,7.5
113,Gustav Stickley: American Craftsman,7.1
114,Beans,7.6
115,She Paradise,8.0
116,A Gift From Bob,6.0
117,The Grudge,4.4
118,Karen Dalton: In My Own Time,7.8
119,Night Raiders,7.2
120,Captains Of Za'Atari,7.6
121,King Richard,7.7
122,Bergman Island,7.7
123,The Beta Test,7.3
124,Ida Red,5.6
125,"Mark, Mary & Some Other People",6.7
126,The Drummer,6.0
127,Soulmates,4.4
128,Dangerous,4.0
129,Motherly,6.3
130,Night At The Eagle Inn,6.8
131,One Shot,5.7
132,Outlier,6.4
133,The Last Days Of Capitalism,6.2
134,Dune,7.7
135,Uncut Gems,8.4
136,Held For Ransom,7.5
137,The Capote Tapes,7.5
138,In Full Bloom,6.7
139,Knocking,6.9
140,De Gaulle,6.2
141,Red Heaven,7.5
142,Blizzard Of Souls,6.6
143,Keyboard Fantasies,7.8
144,The Estate,5.2
145,At The Ready,7.7
146,The Blazing World,5.9
147,Broadcast Signal Intrusion,6.2
148,After We Fell,3.4
149,The Spine Of Night,6.8
150,Tango Shalom,7.0
151,Finding Kendrick Johnson,8.7
152,Snakehead,6.1
153,Demigod,5.8
154,Mothers Of The Revolution,6.9
155,Joy Ride,7.5
156,The Many Saints Of Newark,6.9
157,Warning,4.8
158,Runt,6.7
159,The Village Detective: A Song Cycle,7.6
160,Dashcam,6.6
161,Christmas On The Carousel,5.9
162,Isolation,6.5
163,Bigfoot Famous,6.1
164,Luca,7.4
165,I'M Your Man,7.8
166,Adventures Of A Mathematician,5.6
167,Swimming Out Till The Sea Turns Blue,6.9
168,Fully Realized Humans,6.8
169,The Addams Family 2,4.7
170,Sophie Jones,7.5
171,Mayday,6.1
172,Coming Home In The Dark,7.3
173,Blood On Her Name,7.5
174,Stop And Go,7.4
175,Witch Hunt,6.3
176,The Suicide Squad,7.6
177,Not Going Quietly,8.1
178,Seance,5.6
179,The Gig Is Up,7.5
180,A Dim Valley,6.4
181,Falling For Figaro,6.4
182,American Insurrection,6.7
183,Live At Mister Kelly'S,7.9
184,Aileen Wuornos: American Boogeywoman,4.0
185,American Night,3.7
186,Survive The Game,4.2
187,South Of Heaven,5.8
188,Pharma Bro,6.2
189,Hell Or High Seas,8.4
190,Implanted,6.4
191,Vengeance Is Mine,6.8
192,The Cleaner,7.7
193,Ptsd: The Walking Wounded,7.6
194,Ice Guardians,6.0
195,Steps,6.9
196,Dead Pigs,7.8
197,Dream Horse,7.0
198,The Nest,7.5
199,Lydia Lunch: The War Is Never Over,7.0
200,My Heart Can'T Beat Unless You Tell It To,7.7
201,An Unquiet Grave,6.2
202,The Oak Room,7.1
203,"Nadia, Butterfly",7.9
204,Stalker,6.8
205,The Man Who Sold His Skin,7.6
206,Akilla'S Escape,7.4
207,Brian Banks,6.4
208,My Tender Matador,7.5
209,Say Your Prayers,6.4
210,Escape From Extinction,5.2
211,Julia Scotti: Funny That Way,7.0
212,"Summer Of Soul (...Or, When The Revolution Could Not Be Televised)",9.1
213,Censor,7.3
214,Rogue Hostage,3.7
215,Glass,5.4
216,"Batman: The Long Halloween, Part One",7.7
217,Gaia,7.0
218,Spirit Untamed,5.8
219,The Evil Next Door,6.1
220,Forget Everything And Run,5.6
221,A Perfect Enemy,6.3
222,Holmes & Watson,3.5
223,Death In Texas,4.6
224,Hamlet/Horatio,4.3
225,Lansky,6.4
226,The Birthday Cake,4.7
227,Untitled Horror Movie,6.9
228,When I'M A Moth,5.4
229,The Seer And The Unseen,6.4
230,No Man Of God,7.2
231,Rare Beasts,6.0
232,Really Love,6.8
233,The Green Knight,8.2
234,Habit,3.5
235,Notturno,7.5
236,Pvt Chat,6.3
237,Howling Village,6.0
238,Paw Patrol: The Movie,6.5
239,Cryptozoo,6.2
240,Second Act,5.2
241,Missing In Brooks County,8.2
242,Ellie And Abbie (And Ellie'S Dead Aunt),7.1
243,Barbara Lee: Speaking Truth To Power,8.3
244,Reminiscence,5.5
245,Notorious Nick,5.4
246,Swan Song,7.5
247,Mlk/Fbi,8.0
248,The Colony,5.5
249,Under The Volcano,7.7
250,Too Late,6.5
251,Free Solo,8.3
252,Demonic,4.5
253,Baby Done,6.9
254,Behemoth,3.7
255,Last Man Standing: Suge Knight And The Murders Of Biggie & Tupac,5.8
256,Blood Conscious,6.7
257,The Last Matinee,6.7
258,Baby Money,7.1
259,The Mayberry Effect,7.2
260,Queen Of The Beach,7.9
261,The Land Of Owls,6.8
262,Overrun,5.6
263,Paper Tiger,6.7
264,About Pie,7.5
265,You Will Die At Twenty,7.6
266,Rising Wolf,5.3
267,Curiosa,5.6
268,Whirlybird,7.6
269,The American Sector,7.5
270,Pig,8.2
271,Enemies Of The State,6.7
272,Lorelei,7.4
273,The Meaning Of Hitler,7.8
274,Wander Darkly,6.6
275,John And The Hole,6.4
276,London Fields,3.4
277,Crime Story,4.5
278,Never Gonna Snow Again,7.8
279,Tailgate,7.1
280,The Boy Behind The Door,7.6
281,Sparkling: The Story Of Champagne,6.4
282,The Exchange,6.2
283,Materna,6.0
284,Twist,3.7
285,Infinitum: Subject Unknown,6.2
286,Night Drive,7.0
287,American Traitor: The Trial Of Axis Sally,4.6
288,The East,6.1
289,Rose Plays Julie,7.8
290,Ride The Eagle,6.3
291,Buckley'S Chance,5.2
292,Shadow In The Cloud,6.7
293,Charming The Hearts Of Men,6.2
294,Val,7.9
295,A Dark Foe,3.2
296,Mondo Hollywoodland,6.6
297,The Legend Of Tayos,7.4
298,The Shattering,7.5
299,For Madmen Only,7.8
300,Sweat,7.6
301,Mandibles,7.6
302,Roma,8.9
303,Meander,7.1
304,First Date,6.2
305,Archenemy,6.6
306,How It Ends,6.4
307,Long Story Short,6.3
308,Werewolves Within,7.2
309,Kid Candidate,6.2
310,The Loneliest Whale: The Search For 52,7.4
311,Settlers,6.3
312,The House Next Door: Meet The Blacks 2,1.8
313,Great White,5.0
314,Slender Man,3.7
315,Till Death,6.9
316,The Phantom,7.3
317,Let Us In,4.5
318,Scenes From An Empty Church,7.6
319,Danny. Legend. God.,7.0
320,Marathon,7.1
321,Ant-Man And The Wasp,7.1
322,The God Committee,6.8
323,Running Against The Wind,5.6
324,Midnight In The Switchgrass,3.8
325,Ryuichi Sakamoto: Coda,7.9
326,Die In A Gunfight,4.2
327,"Batman: The Long Halloween, Part Two",7.8
328,We Intend To Cause Havoc,7.0
329,Here After,4.5
330,River,5.0
331,The Body Fights Back,7.8
332,Toofaan,5.6
333,The New Bauhaus,6.8
334,That Good Night,5.1
335,Skyscraper,5.5
336,The Sounding,7.1
337,The Devil Has A Name,5.6
338,Wolfman'S Got Nards,8.0
339,The True Adventures Of Wolfboy,6.9
340,"J.R. ""Bob"" Dobbs & The Church Of The Subgenius",7.8
341,The Place Of No Words,6.9
342,Nomad: In The Footsteps Of Bruce Chatwin,7.6
343,Terra Willy,6.7
344,Last Call,7.2
345,The Antenna,5.7
346,Over The Moon,7.1
347,After We Collided,4.3
348,The Craft: Legacy,5.7
349,The Secrets We Keep,6.2
350,Spell,5.7
351,White Noise,7.5
352,Represent,7.6
353,Skylines,5.9
354,Lola,6.2
355,Friendsgiving,4.8
356,Tar,4.0
357,"Harry Chapin: When In Doubt, Do Something",8.0
358,The Spongebob Movie: Sponge On The Run,6.2
359,Chop Chop,3.7
360,Tremors: Shrieker Island,5.6
361,537 Votes,7.7
362,One Man And His Shoes,7.2
363,Greatland,6.2
364,Wild Mountain Thyme,5.0
365,Cup Of Cheer,5.6
366,They Reach,5.2
367,Love In Dangerous Times,6.7
368,Rams,7.0
369,Raya And The Last Dragon,7.8
370,Stray,7.9
371,Happily,6.9
372,Promising Young Woman,8.2
373,15 Things You Didn'T Know About Bigfoot (Number 1 Will Blow Your Mind!),5.8
374,"Yalda, A Night For Forgiveness",7.1
375,Solo: A Star Wars Story,6.6
376,My Little Sister,7.4
377,Funny Face,7.1
378,Mayor,7.9
379,Drunk Bus,7.4
380,The World To Come,6.9
381,Paint,6.9
382,Skull: The Mask,5.7
383,Collective,8.9
384,The Paper Tigers,7.3
385,Bloodthirsty,6.7
386,Minor Premise,7.2
387,The Get Together,6.6
388,Honeydew,6.1
389,Benny Loves You,7.0
390,Haymaker,5.1
391,When Today Ends,7.2
392,Willy'S Wonderland,5.7
393,Active Measures,7.2
394,Donna,7.2
395,Sound Of Violence,6.4
396,Donny'S Bar Mitzvah,5.4
397,Long Live Rock... Celebrate The Chaos,5.9
398,Brewmance,7.7
399,The Retreat,6.6
400,North Hollywood,6.5
401,The Dark Hobby,8.4
402,Captive,7.1
403,Killer Concept,5.8
404,You Go To My Head,6.8
405,The 15:17 To Paris,4.6
406,Black Panther,8.3
407,Coming To My Senses,6.1
408,American Skin,5.2
409,Two Of Us,7.9
410,Savage,6.8
411,The Changin' Times Of Ike White,8.0
412,Born To Be,8.5
413,Once Upon A River,6.4
414,Cowboys,7.5
415,Assassins,8.0
416,Love Sarah,5.4
417,Little Fish,7.5
418,Dear Comrades!,8.3
419,Ten Minutes To Midnight,6.6
420,Elodie,6.1
421,Supernova,7.7
422,Nasrin,7.8
423,Pg: Psycho Goreman,7.4
424,Butchers,4.7
425,Reunion,6.6
426,Skyfire,5.3
427,Don'T Tell A Soul,6.7
428,Redemption Day,4.0
429,"Stallone: Frank, That Is",6.4
430,Hostiles,7.0
431,Stars Fell On Alabama,5.1
432,"If Not Now, When?",6.1
433,Dr. Bird'S Advice For Sad Poets,6.8
434,Caged,6.4
435,The Post,8.0
436,Son Of The South,6.1
437,Fever Dreams,5.1
438,Koko-Di Koko-Da,6.3
439,The Emoji Story,7.9
440,Yellow Rose,7.4
441,Soul,8.4
442,Sing Me A Song,7.2
443,The Planters,7.6
444,Lupin Iii: The First,7.0
445,Breaking Surface,7.2
446,Beasts Clawing At Straws,7.7
447,Comfort Farms,5.0
448,My Prince Edward,7.7
449,I Am Lisa,6.9
450,Don'T Click,3.3
451,Shortcut,5.7
452,40 Years A Prisoner,7.4
453,Girl,5.5
454,Breathe,6.5
455,Bill & Ted Face The Music,6.9
456,Hunter Hunter,7.0
457,The Stand In,5.0
458,Sister Of The Groom,5.8
459,Max Cloud,6.3
460,Breach,3.8
461,Ip Man: Kung Fu Master,4.5
462,Modern Persuasion,5.6
463,Ham: A Musical Memoir,7.1
464,The One You Feed,5.3
465,Gun And A Hotel Bible,6.4
466,Princess Of The Row,7.3
467,Hearts And Bones,7.0
468,Billie,7.6
469,Iron Mask,3.5
470,Luxor,6.9
471,18 To Party,6.0
472,Beast Mode,6.1
473,Black Bear,7.6
474,Stardust,4.5
475,Train To Busan Presents: Peninsula,6.1
476,The Prey,6.6
477,Inside,4.9
478,Survival Skills,6.8
479,The Walrus And The Whistleblower,6.2
480,Ammonite,6.9
481,Dunkirk,8.7
482,A Chef'S Voyage,7.1
483,Crock Of Gold: A Few Rounds With Shane Macgowan,7.9
484,Fatman,5.5
485,"Love, Weddings & Other Disasters",3.3
486,Elyse,4.8
487,What Lies Below,4.7
488,Knuckledust,5.6
489,Smiley Face Killers,4.8
490,Dear Santa,8.0
491,Ms. White Light,6.7
492,Dune Drifter,6.5
493,Baby God,7.8
494,King Of Knives,5.8
495,The Ventures: Stars On Guitars,8.8
496,The Mystery Of The Pink Flamingo,6.2
497,Trail Of Ashes,4.5
498,The Bloodhound,7.3
499,An Imperfect Murder,3.0
500,The More You Ignore Me,6.7
501,The Wall Of Mexico,6.0
502,Sibyl,6.1
503,From The Vine,6.0
504,Invincible Dragon,4.0
505,South Terminal,6.5
506,Bullets Of Justice,4.6
507,The Mortuary Collection,7.8
508,Ashfall,5.8
509,Aggie,6.8
510,Save Yourselves!,6.9
511,Hard Kill,3.3
512,S...House,7.6
513,The Opening Act,7.3
514,Tapeworm,7.1
515,Broil,5.0
516,The Ringmaster,6.9
517,The Curse Of Audrey Earnshaw,6.6
518,Logan Lucky,7.6
519,Alone,6.2
520,Spontaneous,8.4
521,The Blech Effect,6.2
522,The Doorman,4.4
523,Relic,7.8
524,Totally Under Control,7.8
525,The Devil To Pay,7.7
526,The Phenomenon,6.3
527,The Wolf Of Snow Hollow,7.6
528,Don'T Look Back,5.7
529,The Disrupted,7.0
530,Rom Boys: 40 Years Of Rad,6.4
531,Batman: Death In The Family,6.5
532,Into The Labyrinth,5.0
533,The Informer,5.8
534,Creem: America'S Only Rock 'N' Roll Magazine,7.2
535,Honey Bee,7.5
536,Le Choc Du Futur,6.8
537,Jungleland,6.8
538,The Giant,5.4
539,Song Lang,8.6
540,The Donut King,7.4
541,Dating Amber,7.4
542,Mortal,5.8
543,"Crazy, Not Insane",7.5
544,Kindred,6.5
545,Atomic Blonde,6.7
546,Run,7.3
547,Major Arcana,6.8
548,The Dark And The Wicked,7.6
549,Harmonium,8.2
550,Triggered,5.4
551,Chick Fight,5.2
552,The Dark Divide,7.2
553,Echo Boomers,5.6
554,Embattled,7.2
555,Team Marco,6.5
556,Jiu Jitsu,4.1
557,Blindfire,5.7
558,Where She Lies,8.8
559,The Orange Years: The Nickelodeon Story,7.2
560,My Summer As A Goth,5.2
561,Sleepless Beauty,3.2
562,Truth Is The Only Client: The Official Investigation Of The Murder Of John F. Kennedy,7.4
563,Mulan,6.9
564,Wind River,7.8
565,"I, Pastafari",7.5
566,Your Name,8.2
567,The Outpost,8.0
568,I Hate New York,6.3
569,Anbessa,7.0
570,Children Of The Sea,6.9
571,Measure For Measure,6.4
572,Watch List,7.9
573,Matthias & Maxime,6.7
574,Age Of Kill,2.7
575,"Bloody Nose, Empty Pockets",8.1
576,John Lewis: Good Trouble,7.6
577,Epicentro,8.0
578,The Mole Agent,7.7
579,Fatima,6.0
580,Critical Thinking,7.3
581,Followed,6.7
582,You Cannot Kill David Arquette,7.4
583,The Surrogate,7.5
584,Centigrade,6.0
585,Four Kids And It,5.6
586,One Night In Bangkok,4.2
587,The Argument,6.9
588,Tom Of Your Life,7.6
589,Rogue,5.4
590,Guest House,2.5
591,The 2Nd,3.1
592,Driven To Abstraction,6.1
593,The Owners,5.9
594,Still Here,5.1
595,Robin'S Wish,7.4
596,#Unfit: The Psychology Of Donald Trump,7.8
597,Immortal,7.2
598,Buddies,8.2
599,Daddy'S Girl,5.7
600,Eternal Beauty,6.9
601,"Red, White & Wasted",7.1
602,Halloween Party,6.0
603,The Swerve,7.6
604,Alive,5.6
605,Antebellum,5.1
606,The Glorias,6.7
607,12 Hour Shift,6.8
608,Scare Me,7.0
609,She'S In Portland,6.6
610,A Call To Spy,6.3
611,Wheelman,6.9
612,All Roads To Pearla,6.5
613,The Artist'S Wife,6.2
614,Misbehaviour,6.8
615,Maurice,7.9
616,Public Trust,8.6
617,Jimmy Carter: Rock & Roll President,7.3
618,Ottolenghi And The Cakes Of Versailles,5.8
619,Welcome To Sudden Death,3.5
620,Sno Babies,4.9
621,Death Of Me,4.6
622,Stuntwomen: The Untold Hollywood Story,8.0
623,Then Came You,5.3
624,Hosts,7.3
625,Resisterhood,7.7
626,Lx 2048,5.6
627,2067,5.5
628,Kiss The Ground,7.4
629,Let'S Scare Julie,6.1
630,Herb Alpert Is...,7.2
631,Sightless,5.0
632,Buoyancy,8.0
633,The Garden Left Behind,7.2
634,Heimat Is A Space In Time,8.2
635,Blackbird,6.5
636,H Is For Happiness,6.7
637,Teenage Badass,6.2
638,Space Dogs,6.9
639,I Am Woman,6.2
640,House Of Cardin,5.9
641,Entwined,6.2
642,Nail In The Coffin: The Fall And Rise Of Vampiro,7.3
643,Luz: The Flower Of Evil,7.4
644,Toss It,5.0
645,The Racer,6.4
646,Rent-A-Pal,7.0
647,Baywatch,4.2
648,I'Ve Got Issues,4.8
649,Up On The Glass,4.9
650,Dtf,7.7
651,Range Runners,5.0
652,No Escape,4.6
653,All In: The Fight For Democracy,8.1
654,Cats & Dogs 3: Paws Unite!,3.3
655,Black Boys,7.9
656,Murder In The Woods,6.4
657,My Name Is Pedro,7.4
658,First One In,7.6
659,Blind,4.5
660,Summerland,6.5
661,Gather,8.7
662,Jazz On A Summer'S Day,8.6
663,American Street Kid,7.4
664,Ravage,5.1
665,Sometimes Always Never,6.9
666,Eva And Lola,6.9
667,Open 24 Hours,6.0
668,Love Express: The Disappearance Of Walerian Borowczyk,7.1
669,Land Of Mine,7.6
670,Cane River,7.7
671,Pariah Dog,8.3
672,The August Virgin,7.2
673,Desert One,8.1
674,Spree,6.2
675,Happy Happy Joy Joy: The Ren & Stimpy Story,7.5
676,Tesla,6.3
